x,y,z
1.512640,0.000792,-0.405311
1.515769,0.000794,0.026458
1.523914,0.000798,-0.351823
1.527903,0.000800,0.080074
1.545081,0.000809,-0.300333
1.528162,0.000800,0.133697
1.521040,0.000796,-0.240909
1.524551,0.000798,0.187191
1.538446,0.000806,-0.188897
1.528941,0.000801,0.242161
1.538124,0.000805,-0.134568
1.507779,0.000789,0.293083
1.525906,0.000799,-0.079969
1.521966,0.000797,0.351374
1.537766,0.000805,-0.026842
1.518435,0.000795,0.406864
1.506844,0.000789,-0.403758
1.511769,0.000792,0.026388
1.523914,0.000798,-0.351823
1.523908,0.000798,0.079865
1.527412,0.000800,-0.296899
1.536132,0.000804,0.134394
1.528941,0.000801,-0.242161
1.526536,0.000799,0.187435
1.528521,0.000800,-0.187679
1.521040,0.000796,0.240909
1.546094,0.000810,-0.135266
1.513669,0.000793,0.294227
1.529900,0.000801,-0.080179
1.518068,0.000795,0.350474
1.533766,0.000803,-0.026772
1.510708,0.000791,0.404793
1.512640,0.000792,-0.405311
1.515769,0.000794,0.026458
1.523914,0.000798,-0.351823
1.527903,0.000800,0.080074
1.545081,0.000809,-0.300333
1.528162,0.000800,0.133697
1.521040,0.000796,-0.240909
1.524551,0.000798,0.187191
1.538446,0.000806,-0.188897
1.528941,0.000801,0.242161
1.538124,0.000805,-0.134568
1.507779,0.000789,0.293083
1.525906,0.000799,-0.079969
1.521966,0.000797,0.351374
1.537766,0.000805,-0.026842
1.518435,0.000795,0.406864
1.506844,0.000789,-0.403758
1.511769,0.000792,0.026388
1.523914,0.000798,-0.351823
1.523908,0.000798,0.079865
1.527412,0.000800,-0.296899
1.536132,0.000804,0.134394
1.528941,0.000801,-0.242161
1.526536,0.000799,0.187435
1.528521,0.000800,-0.187679
1.521040,0.000796,0.240909
1.546094,0.000810,-0.135266
1.513669,0.000793,0.294227
1.529900,0.000801,-0.080179
1.518068,0.000795,0.350474
1.533766,0.000803,-0.026772
1.510708,0.000791,0.404793
1.481718,0.005948,-0.397028
1.531754,0.006149,0.026737
1.527800,0.006133,-0.352723
1.527891,0.006133,0.080074
1.515620,0.006084,-0.294609
1.520181,0.006102,0.133000
1.534855,0.006161,-0.243099
1.526524,0.006128,0.187435
1.530494,0.006144,-0.187923
1.517077,0.006090,0.240283
1.542097,0.006190,-0.134917
1.517583,0.006092,0.294991
1.529888,0.006141,-0.080179
1.518056,0.006094,0.350474
1.523756,0.006117,-0.026597
1.504900,0.006041,0.403240
